Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2,row_id_3
da Silva et al. 2015,-45.87822152,-21.31305704,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5107,11,area,0,30.96988957,9.495427194,28,1042,553
da Silva et al. 2015,-45.8570625,-21.30461559,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5108,120,area,1,0,9.495427194,29,1043,554
da Silva et al. 2015,-46.11801174,-21.44056305,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5092,183,area,1,0,11.98917575,13,1044,555
da Silva et al. 2015,-45.85788567,-21.3421029,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5105,124,area,1,0,12.37282937,26,1045,556
da Silva et al. 2015,-45.9148299,-21.5062089,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5087,237,area,1,0,14.29109749,8,1046,557
da Silva et al. 2015,-46.16129403,-21.45747723,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5096,124,area,1,0,16.20936561,17,1047,558
da Silva et al. 2015,-45.93546845,-21.5090155,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5086,233,area,1,0,16.68893264,7,1048,559
da Silva et al. 2015,-45.8631207,-21.33364163,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5104,1,area,0,43.79803786,17.83989352,25,1049,560
da Silva et al. 2015,-45.95952564,-21.47351963,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5081,126,area,1,0,18.89494098,2,1050,561
da Silva et al. 2015,-46.16056404,-21.47071896,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5098,98,area,1,0,22.3478236,19,1051,562
da Silva et al. 2015,-46.14860405,-21.4362066,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5094,153,area,1,0,26.56801346,15,1052,563
da Silva et al. 2015,-45.99546816,-21.37649706,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5100,57,area,1,0,27.1434939,21,1053,564
da Silva et al. 2015,-45.94803758,-21.52850443,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5085,231,area,1,0,28.19854136,6,1054,565
da Silva et al. 2015,-46.09464604,-21.42506757,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5090,196,area,1,0,29.92498267,11,1055,566
da Silva et al. 2015,-45.84286863,-21.35907775,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5102,95,area,1,0,31.45959717,23,1056,567
da Silva et al. 2015,-45.92816207,-21.47689797,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5080,132,area,1,0,35.48796022,1,1057,568
da Silva et al. 2015,-45.88025208,-21.50398086,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5088,176,area,1,0,38.74901602,9,1058,569
da Silva et al. 2015,-46.16619972,-21.46205087,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5097,117,area,1,0,42.77737908,18,1059,570
da Silva et al. 2015,-46.16112351,-21.39780577,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5099,196,area,1,0,48.81992365,20,1060,571
da Silva et al. 2015,-45.92744169,-21.38252264,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5101,46,area,1,0,50.16271134,22,1061,572
da Silva et al. 2015,-45.98716705,-21.46890162,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5082,105,area,1,0,50.25862474,3,1062,573
da Silva et al. 2015,-46.12464768,-21.4237477,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5091,146,area,1,0,58.98674469,12,1063,574
da Silva et al. 2015,-45.96743801,-21.50125124,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5083,151,area,1,0,95.81749259,4,1064,575
da Silva et al. 2015,-45.84835124,-21.33283343,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,a,Callicebus_nigrifrons_a,5103,126,area,1,0,96.87254006,24,1065,576
"Gestich, 2016",-47.92260278,-21.91908889,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5785,101,area,1,0,10.04638349,13,1066,577
"Gestich, 2016",-47.78342222,-21.90458056,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5776,1,area,0,44.38332025,11.91776865,4,1067,578
"Gestich, 2016",-47.89529167,-21.96286389,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5784,120,area,1,0,14.77409337,12,1068,579
"Gestich, 2016",-47.99478333,-21.62144167,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5788,38,area,1,0,46.39065319,16,1069,580
"Gestich, 2016",-47.56750556,-21.81781389,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5773,124,area,1,0,64.80902293,1,1070,581
"Gestich, 2016",-47.92631944,-21.73179444,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5786,16,area,0,31.38374672,80.27257399,14,1071,582
"Gestich, 2016",-47.84073333,-21.63543611,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5783,147,area,1,0,84.704802,11,1072,583
"Gestich, 2016",-47.72764167,-22.00080278,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5779,84,area,1,0,85.59124761,7,1073,584
"Gestich, 2016",-47.77453056,-21.70749167,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5780,98,area,1,0,87.95510255,8,1074,585
"Gestich, 2016",-47.6527,-21.73751111,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5774,51,area,1,0,140.2553931,2,1075,586
"Gestich, 2016",-47.68424722,-21.79814722,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5775,61,area,1,0,210.1861017,3,1076,587
"Gestich, 2016",-47.82331667,-21.396725,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5781,46,area,1,0,215.2092935,9,1077,588
"Gestich, 2016",-47.85143889,-21.82875,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5777,193,area,1,0,260.3195252,5,1078,589
"Gestich, 2016",-47.83805278,-21.97695,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5782,102,area,1,0,288.1933147,10,1079,590
"Gestich, 2016",-47.93160833,-21.813775,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5787,94,area,1,0,360.6848662,15,1080,591
"Gestich, 2016",-47.59541389,-21.72734444,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,b,Callicebus_nigrifrons_b,5778,66,area,1,0,362.5562514,6,1081,592
Lima 2008 (thesis),-46.93833333,-22.88694444,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3320,1,area,0,190.464943,0.098045661,9,1082,593
Lima 2008 (thesis),-46.98416667,-22.80555556,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3323,114,area,1,0,1.17654793,12,1083,594
Lima 2008 (thesis),-46.87722222,-22.92666667,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3312,255,area,1,0,4.706191722,1,1084,595
Lima 2008 (thesis),-46.90277778,-22.85194444,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3318,2,area,0,112.8979004,5.784693991,7,1085,596
Lima 2008 (thesis),-46.9925,-22.80944444,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3324,107,area,1,0,6.274922296,13,1086,597
Lima 2008 (thesis),-47.00333333,-22.78416667,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3315,111,area,1,0,6.863196261,4,1087,598
Lima 2008 (thesis),-46.89138889,-22.86027778,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3317,291,area,1,0,8.628018157,6,1088,599
Lima 2008 (thesis),-46.9825,-22.79111111,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3322,116,area,1,0,9.608474765,11,1089,600
Lima 2008 (thesis),-46.88583333,-22.8525,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3316,1,area,0,93.93673125,9.608474765,5,1090,601
Lima 2008 (thesis),-47.01944444,-22.79111111,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3327,92,area,1,0,20.88372577,16,1091,602
Lima 2008 (thesis),-46.91416667,-22.90777778,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3319,283,area,1,0,23.62900427,8,1092,603
Lima 2008 (thesis),-47.00166667,-22.78111111,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3314,119,area,1,0,25.49187183,3,1093,604
Lima 2008 (thesis),-46.99416667,-22.79,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3325,1,area,0,88.56439956,68.14173431,14,1094,605
Lima 2008 (thesis),-46.92666667,-22.82944444,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,c,Callicebus_nigrifrons_c,3313,298,area,1,0,262.6643255,2,1095,606
Melo et al. 2005,-42.732379,-20.074282,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2003,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,d,Callicebus_nigrifrons_d,1529,191,area,1,0,28.47918943,2,1096,607
Melo et al. 2005,-42.738237,-20.06847,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2003,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,d,Callicebus_nigrifrons_d,1530,179,area,1,0,76.91318505,3,1097,608
Melo et al. 2005,-42.759249,-20.06466,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2003,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,d,Callicebus_nigrifrons_d,1532,142,area,1,0,138.0368875,5,1098,609
Melo et al. 2005,-42.727708,-20.032601,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2003,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,d,Callicebus_nigrifrons_d,1528,157,area,1,0,252.8254572,1,1099,610
Melo et al. 2005,-42.741516,-20.130151,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2003,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,d,Callicebus_nigrifrons_d,1531,191,area,1,0,833.9365366,4,1100,611
Pereira 2012 (thesis),-42.87312778,-20.74606111,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,e,Callicebus_nigrifrons_e,5118,1,area,0,30.89333141,2.004235644,3,1101,612
Pereira 2012 (thesis),-42.88489167,-20.74201944,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,e,Callicebus_nigrifrons_e,5119,246,area,1,0,6.680785479,4,1102,613
Pereira 2012 (thesis),-42.77011111,-20.74211667,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,e,Callicebus_nigrifrons_e,5116,364,area,1,0,35.31272325,1,1103,614
Pereira 2012 (thesis),-42.898175,-20.74073889,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,e,Callicebus_nigrifrons_e,5121,207,area,1,0,64.42185998,6,1104,615
Pereira 2012 (thesis),-42.85134722,-20.77041944,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,e,Callicebus_nigrifrons_e,5117,289,area,1,0,89.713405,2,1105,616
Pereira 2012 (thesis),-42.89158333,-20.79022778,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2011,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,e,Callicebus_nigrifrons_e,5120,215,area,1,0,384.145165,5,1106,617
Sales et al 2016,-44.81925023,-21.12855553,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5791,1,area,0,31.22769884,0.097516918,3,1107,618
Sales et al 2016,-44.96965266,-21.32898221,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5798,1,area,0,44.16263523,0.195033835,10,1108,619
Sales et al 2016,-44.87831982,-21.17834852,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5795,1,area,0,187.3661931,0.877652258,7,1109,620
Sales et al 2016,-44.89937493,-21.21214583,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5805,1,area,0,31.22769884,1.17020301,17,1110,621
Sales et al 2016,-44.83613826,-21.17538542,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5796,1,area,0,69.8272574,1.267719928,8,1111,622
Sales et al 2016,-44.97450542,-21.14802215,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5792,1,area,0,220.8131761,2.047855268,4,1112,623
Sales et al 2016,-44.98707161,-21.29223782,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5794,138,area,1,0,6.826184226,6,1113,624
Sales et al 2016,-44.95719619,-21.18649168,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5790,118,area,1,0,8.581488741,2,1114,625
Sales et al 2016,-44.86502285,-21.16022235,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5793,1,area,0,44.16263523,9.556657916,5,1115,626
Sales et al 2016,-44.83215127,-21.14017036,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5797,241,area,1,0,10.72686093,9,1116,627
Sales et al 2016,-44.81286817,-21.21827041,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5803,226,area,1,0,13.26230078,15,1117,628
Sales et al 2016,-44.97398353,-21.21336649,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5802,72,area,1,0,15.0176053,14,1118,629
Sales et al 2016,-44.8238165,-21.23297371,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5804,216,area,1,0,22.03882336,16,1119,630
Sales et al 2016,-44.94639356,-21.11434929,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5807,198,area,1,0,25.0618478,19,1120,631
Sales et al 2016,-44.84729656,-21.15367465,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5789,1,area,0,62.45539769,26.32956773,1,1121,632
Sales et al 2016,-44.88295218,-21.26556145,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5808,1,area,0,182.0872098,42.02979145,20,1122,633
Sales et al 2016,-44.94300431,-21.08841619,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5801,213,area,1,0,58.21759976,13,1123,634
Sales et al 2016,-44.94899586,-21.16366584,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,1,2013,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus nigrifrons,Near Threatened,28,f,Callicebus_nigrifrons_f,5806,140,area,1,0,70.11466369,18,1124,635
