Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new
Aguiar et al. 2007,-53.30305556,-22.72472222,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3135,75,75
Aguiar et al. 2007,-53.30694444,-22.84361111,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3136,75,75
Aguiar et al. 2007,-53.30944444,-22.77527778,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3137,75,75
Aguiar et al. 2007,-53.31388889,-22.78583333,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3138,75,75
Aguiar et al. 2007,-53.325,-22.72916667,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3139,75,75
Aguiar et al. 2007,-53.32694444,-22.78777778,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3140,75,75
Aguiar et al. 2007,-53.32805556,-22.75888889,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3141,75,75
Aguiar et al. 2007,-53.33472222,-22.86027778,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3142,75,75
Aguiar et al. 2007,-53.33583333,-22.87861111,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3143,75,75
Aguiar et al. 2007,-53.34222222,-22.79388889,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3144,75,75
Aguiar et al. 2007,-53.34638889,-22.7775,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3145,75,75
Aguiar et al. 2007,-53.34805556,-22.75027778,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3146,75,75
Aguiar et al. 2007,-53.35527778,-22.8,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3147,75,75
Aguiar et al. 2007,-53.37805556,-22.81888889,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3148,75,75
Aguiar et al. 2007,-53.3825,-22.80055556,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3149,75,75
Aguiar et al. 2007,-53.39777778,-22.81083333,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3150,75,75
Aguiar et al. 2007,-53.07222222,-22.64305556,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3156,75,75
Aguiar et al. 2007,-53.07888889,-22.64916667,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3157,75,75
Aguiar et al. 2007,-53.13472222,-22.65111111,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3158,75,75
Aguiar et al. 2007,-53.165,-22.70666667,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3159,75,75
Aguiar et al. 2007,-53.20722222,-22.7375,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3160,75,75
Aguiar et al. 2007,-53.21166667,-22.72583333,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3161,75,75
