Dataset,n,simulation_number,patch_comb_number,vars,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se,habitat_amount,Cumulative_Occurrence,Source,Realm,Family,Genus,Taxon_ITIS,TaxonNameIUCN,redlistCategory,Occurrence,mean_patch_area_log
Alouatta_belzebul_a,16,1,10,1,361.0477204,273.1025349,323.9901709,345.0415812,283.4683771,0.274839676,945.9065499,945.6317102,0.528410347,-0.873778878,68.27563372,seventy_percent,5,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.557564607
Alouatta_belzebul_a,17,1,11,1,342.9083018,271.1766786,277.2216194,325.5506494,267.9842396,0.274839676,945.9065499,945.6317102,0.656727016,-0.757254861,65.77000523,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.535178
Alouatta_belzebul_a,16,1,12,1,365.5940267,243.8887306,324.9521097,361.0084576,270.5649291,0.274839676,795.1111813,794.8363416,0.26732211,-1.215799936,60.97218265,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.562999091
Alouatta_belzebul_a,16,1,13,1,373.541474,320.3046206,287.0242345,359.3201567,300.1749465,0.274839676,945.9065499,945.6317102,0.60849952,-1.217655675,80.07615515,seventy_percent,8,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.572338828
Alouatta_belzebul_a,13,1,14,1,461.3078246,301.517516,340.8928109,448.6799345,299.903295,115.6158902,945.9065499,830.2906597,0.404880026,-1.477623727,83.62591266,seventy_percent,8,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.663990821
Alouatta_belzebul_a,12,1,15,1,490.0849481,298.8864677,444.5073686,487.3457126,328.6983577,61.65570054,945.9065499,884.2508494,0.231703212,-1.462911351,86.28109129,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.690271364
Alouatta_belzebul_a,13,1,16,1,442.0126699,286.3341959,387.6155557,430.7820417,197.7623178,61.65570054,945.9065499,884.2508494,0.49791339,-1.072602721,79.41481734,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.645434718
Alouatta_belzebul_a,11,1,17,1,532.039641,280.6108252,501.3991814,532.3237345,332.3656534,115.6158902,945.9065499,830.2906597,0.211218291,-1.528718843,84.60734722,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.725943992
Alouatta_belzebul_a,11,1,18,1,546.9142973,302.137091,501.3991814,556.4994467,333.4522596,61.65570054,945.9065499,884.2508494,-0.163234587,-1.488348953,91.09776056,seventy_percent,5,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.737919277
Alouatta_belzebul_a,17,1,19,1,350.3505291,267.7388993,307.0875308,334.7608323,267.5767623,0.274839676,934.2716703,933.9968306,0.730896102,-0.618153721,64.93622128,seventy_percent,7,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.544502778
